"","Cell_Line","Drug","GDSC","CCLE"
"47","DOV13","Sorafenib",0.397100478340068,0.0766362334659045
"48","DOV13","Topotecan",0.292215982718007,0.413987388313823
"49","EFO-21","Crizotinib",0.00686629243650771,0.0105917044616417
"50","EFO-21","Erlotinib",0.0969341471121416,0.0443850557242215
"51","EFO-21","Irinotecan",0.0393308145292606,0.273978611930153
"52","EFO-21","Lapatinib",0.123783331707434,0.0795353949123819
"53","EFO-21","Nilotinib",0.0323936013881527,0.00463600687772685
"54","EFO-21","Paclitaxel",0.0115437179389886,0.505672075000026
"55","EFO-21","Palbociclib",0.0886946763639293,0
"56","EFO-21","PD-0325901",0.0945725567971489,0.176666427768439
"57","EFO-21","PLX4720",0.0130353144897928,0.0152121124801259
"58","EFO-21","Selumetinib",0.112946821349978,0.113224949371278
"59","EFO-21","Sorafenib",0.0121994213384548,0.0567329684197203
"60","EFO-21","Topotecan",0.0733199037871404,0.299792254550652
"61","EFO-27","Crizotinib",0.0070224568637823,0.0105504042872867
"62","EFO-27","Erlotinib",NA,0.161534838593571
"63","EFO-27","Irinotecan",0,0.339680616151261
"64","EFO-27","Lapatinib",NA,0.164066054892352
"65","EFO-27","Nilotinib",NA,0.0226744269091699
"66","EFO-27","Paclitaxel",NA,0.565336232595535
"67","EFO-27","Palbociclib",NA,0
"68","EFO-27","PD-0325901",0.12659374095184,0.195630376981861
"69","EFO-27","PLX4720",0.00695293378882312,NA
"70","EFO-27","Selumetinib",0.175034886292048,0.0472290518728025
"71","EFO-27","Sorafenib",NA,0.0151007386570378
"72","EFO-27","Topotecan",0.109354139622591,0.262200114283054
"73","ES-2","Crizotinib",0.105296474388168,0.0178105693626796
"74","ES-2","Erlotinib",0.0850547157637586,0.0207823472235324
"75","ES-2","Irinotecan",0.222825272068626,NA
"76","ES-2","Lapatinib",0.00723484249241924,0.0156688051497569
"77","ES-2","Nilotinib",0,NA
"78","ES-2","Paclitaxel",0,0.666676481292321
"79","ES-2","Palbociclib",0.220803972511223,0.0294290924294295
