Cell_Line,Drug,GDSC,CCLE
OVCAR-8,Sorafenib,0.077858653,0.056136554
OVCAR-8,Topotecan,0.367415967,0.498007643
OVTOKO,Crizotinib,0,0.012735763
OVTOKO,Erlotinib,0.08205261,0.105820029
OVTOKO,Irinotecan,0.014752116,0.335415857
OVTOKO,Lapatinib,0.147129742,0.116291408
OVTOKO,Nilotinib,0.019583896,0.018210723
OVTOKO,Paclitaxel,0.071255947,0.290628105
OVTOKO,Palbociclib,0.144597894,0.01431488
OVTOKO,PD-0325901,0.043208737,0.099401917
OVTOKO,Selumetinib,0,0.038983491
OVTOKO,Sorafenib,0.033522473,0.0684375
OVTOKO,Topotecan,0.175800838,0.455669964
SK-OV-3,Crizotinib,0.027223129,0
SK-OV-3,Erlotinib,0.139086316,0.079247534
SK-OV-3,Irinotecan,0.129560747,0.339595454
SK-OV-3,Lapatinib,0.21434767,0.13293869
SK-OV-3,Nilotinib,0.008993346,0.014932731
SK-OV-3,Paclitaxel,0.003383688,0.6922598
SK-OV-3,Palbociclib,0.017295018,0.068655987
SK-OV-3,PD-0325901,0.034096289,0.064005176
SK-OV-3,PLX4720,0.083962807,0.014453516
SK-OV-3,Selumetinib,0.122716462,0.034225
SK-OV-3,Sorafenib,1.83E-15,0
SK-OV-3,Topotecan,0.158336428,0.252752081
TOV-112D,Crizotinib,0.003304101,0.063531595
TOV-112D,Erlotinib,0.04858363,0.084572415
TOV-112D,Irinotecan,0.146401186,0.501030714
TOV-112D,Lapatinib,0.013380569,0.055634033
TOV-112D,Nilotinib,0.021429432,0.050382784
TOV-112D,Paclitaxel,0.03136641,0.84906379
TOV-112D,Palbociclib,0.221287159,0.120680613
TOV-112D,PD-0325901,0.010688375,0.109116479
TOV-112D,PLX4720,0.024209244,0.003608572
TOV-112D,Selumetinib,0,0.002531718
TOV-112D,Sorafenib,0.112329483,0.064975568
TOV-112D,Topotecan,0.410396088,0.469263802
TOV-21G,Crizotinib,0.088156291,0.114182594
TOV-21G,Erlotinib,0.129560176,0.068069773
TOV-21G,Irinotecan,0.118780836,0.403503888
TOV-21G,Lapatinib,0.05385017,0.075494121
TOV-21G,Nilotinib,0.04213011,0.028110246
TOV-21G,Paclitaxel,0.067437292,0.718579497
TOV-21G,Palbociclib,0.145936352,0.006506759
TOV-21G,PD-0325901,0.110691931,0.131716788
TOV-21G,PLX4720,0.122789476,0.072724246
TOV-21G,Selumetinib,0.113655116,0.043354394
TOV-21G,Sorafenib,0.037128546,0.033210076
TOV-21G,Topotecan,0.20623054,0.461001228
TYK-nu,Crizotinib,0,0.079777215
TYK-nu,Erlotinib,0.1425686,7.60E-15
TYK-nu,Irinotecan,0.174276719,0.502113741
TYK-nu,Lapatinib,0.0242482,0.037434515
TYK-nu,Nilotinib,0.075129023,0.032658436
TYK-nu,Paclitaxel,0.031956947,0.65307831
TYK-nu,Palbociclib,0.156049825,0.134009455
TYK-nu,PD-0325901,0.147861392,0.26510268
TYK-nu,PLX4720,0.055657345,0
TYK-nu,Selumetinib,0.166128236,0.107426248
TYK-nu,Sorafenib,0.069561658,0.024938422
TYK-nu,Topotecan,0.313058349,0.446322758
